title,url,publishedAt
Billionaires' wealth rises to $10.2 trillion amid Covid crisis,https://www.theguardian.com/business/2020/oct/07/covid-19-crisis-boosts-the-fortunes-of-worlds-billionaires,2020-10-07T01:01:24Z
Cutting battery industry's reliance on cobalt will be an uphill task,https://www.theguardian.com/environment/2020/jan/05/cutting-cobalt-challenge-battery-industry-electric-cars-congo,2020-01-05T12:54:24Z
Kanye West declares he will run for US president in 2020,https://www.theguardian.com/music/2020/jul/05/kanye-west-declares-he-will-run-for-us-president-in-2020,2020-07-05T03:56:43Z
Reporting on wealth: ‘The virus isn't a leveller. It has made the rich richer’,https://www.theguardian.com/membership/2020/nov/29/wealth-inequality-rich-richer-pandemic,2020-11-29T18:00:34Z
Trump wants America looking at the stars as he drags it through the gutter,https://www.theguardian.com/science/2020/may/30/donald-trump-space-coronavirus-spacex-election,2020-05-30T20:03:04Z
"Home schooling is tough, but parents are doing a fraction of teachers' jobs | Barbara Ellen",https://www.theguardian.com/commentisfree/2020/may/02/home-schooling-is-tough-but-parents-are-doing-a-fraction-of-teachers-jobs,2020-05-02T16:30:27Z
Scientists looking for aliens investigate radio beam 'from nearby star',https://www.theguardian.com/science/2020/dec/18/scientists-looking-for-aliens-investigate-radio-beam-from-nearby-star,2020-12-18T06:00:00Z
US corporations continue sending jobs abroad during pandemic,https://www.theguardian.com/business/2020/sep/12/us-corporations-sending-jobs-abroad-offshoring-pandemic,2020-09-12T09:00:26Z
"'E-highways' could slash UK road freight emissions, says study",https://www.theguardian.com/environment/2020/jul/27/ehighways-could-slash-uk-road-freight-emissions-says-study,2020-07-27T05:00:44Z
"Morning mail: borders close to Sydney hotspot, EU Covid fears, Christmas chaos",https://www.theguardian.com/australia-news/2020/dec/18/morning-mail-borders-close-to-sydney-hotspot-eu-covid-fears-christmas-chaos,2020-12-17T20:13:29Z
Amazon launches spherical Echo and flying camera drone,https://www.theguardian.com/technology/2020/sep/24/amazon-launches-spherical-echo-and-flying-camera-drone,2020-09-24T19:56:03Z
"Kanye West takes anti-vaccine, anti-abortion stance in US presidential bid",https://www.theguardian.com/music/2020/jul/08/kanye-west-takes-anti-vaccine-anti-abortion-stance-in-us-presidential-bid,2020-07-08T10:56:18Z
FTSE 100 and sterling slump amid UK Covid-19 freight blockade – as it happened,https://www.theguardian.com/business/live/2020/dec/21/sterling-ftse-100-pound-uk-ports-freight-coronavirus-pandemic-covid-19-us-stimulus-checks-business-live,2020-12-21T15:07:34Z
Thursday briefing: 'Astonishing failure by government',https://www.theguardian.com/world/2020/jul/23/thursday-briefing-astonishing-failure-by-government,2020-07-23T05:30:43Z
